 * Serving Flask app 'app' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
app.py:169: SyntaxWarning: "is" with a literal. Did you mean "=="?
  if len(data) is 0:
 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [07/Oct/2021 12:51:56] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Oct/2021 12:51:56] "GET /static/css/signup.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Oct/2021 12:51:59] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Oct/2021 12:51:59] "GET /static/css/signup.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Oct/2021 12:52:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Oct/2021 12:52:00] "GET /static/css/signup.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Oct/2021 12:52:12] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Oct/2021 12:52:12] "GET /static/css/signup.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Oct/2021 12:52:13] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Oct/2021 12:52:13] "GET /static/css/signup.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Oct/2021 12:52:14] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Oct/2021 12:52:14] "GET /static/css/signup.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Oct/2021 12:52:14] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Oct/2021 12:52:14] "GET /static/css/signup.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Oct/2021 12:52:14] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Oct/2021 12:52:14] "GET /static/css/signup.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Oct/2021 12:52:14] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Oct/2021 12:52:15] "GET /static/css/signup.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Oct/2021 12:52:38] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Oct/2021 12:52:38] "GET /static/css/signup.css HTTP/1.1" 200 -
